Latitude and Longitude,Class of Land
"(10.323727047081501, 105.2516346045924)",Rice
"(10.322364360592521, 105.27843410554115)",Rice
"(10.321455902933202, 105.25254306225168)",Rice
"(10.324181275911162, 105.25118037576274)",Rice
"(10.324635504740822, 105.27389181724476)",Rice
"(10.323727047081501, 105.28070524968936)",Rice
"(10.325089733570481, 105.23937042619212)",Rice
"(10.324181275911162, 105.25390574874059)",Rice
"(10.321001674103542, 105.24436694331814)",Rice
"(10.321001674103542, 105.2416415703403)",Rice
"(10.324635504740822, 105.25572266405916",Rice
"(10.321001674103542, 105.2334654514068)",Rice
"(10.32327281825184, 105.26753261362978)",Rice
"(10.324181275911162, 105.28115947851899)",Rice
"(10.321001674103542, 105.2598107235259)",Rice
"(10.32327281825184, 105.24073311268103)",Rice
"(10.324635504740822, 105.27843410554115)",Rice
"(10.324181275911162, 105.2348281378957)",Rice
"(10.321455902933202, 105.23301122257715)",Rice
"(10.323727047081501, 105.26026495235556)",Rice
"(10.325089733570481, 105.28025102085971)",Rice
"(10.32009321644422, 105.23210276491787)",Rice
"(10.322364360592521, 105.27797987671151)",Rice
"(10.32327281825184, 105.27752564788187)",Rice
"(10.324635504740822, 105.2652614694816)",Rice
"(10.320547445273881, 105.2266520189622)",Rice
"(10.323727047081501, 105.2652614694816)",Rice
"(10.325089733570481, 105.23528236672536)",Rice
"(10.324635504740822, 105.26798684245944)",Rice
"(10.32281858942218, 105.26435301182232)",Rice
"(10.325089733570481, 105.26344455416304)",Rice
"(10.323727047081501, 105.24572962980707)",Rice
"(10.324635504740822, 105.2334654514068)",Rice
"(10.325089733570481, 105.23164853608824)",Rice
"(10.32327281825184, 105.26571569831123)",Rice
"(10.31963898761456, 105.23074007842897)",Rice
"(10.320547445273881, 105.22983162076967)",Rice
"(10.32281858942218, 105.28115947851899)",Rice
"(10.321910131762861, 105.23028584959931)",Rice
"(10.324181275911162, 105.26071918118518)",Rice
"(10.325089733570481, 105.26026495235556)",Rice
"(10.325089733570481, 105.2448211721478)",Rice
"(10.324181275911162, 105.24300425682924)",Rice
"(10.32281858942218, 105.27570873256332)",Rice
"(10.323727047081501, 105.28252216500792)",Rice
"(10.31963898761456, 105.23937042619212)",Rice
"(10.32281858942218, 105.28161370734864)",Rice
"(10.324635504740822, 105.28161370734864)",Rice
"(10.32327281825184, 105.26117341001483)",Rice
"(10.32327281825184, 105.2788883343708)",Rice
"(10.324181275911162, 105.2516346045924)",Rice
"(10.323727047081501, 105.23982465502175)",Rice
"(10.31963898761456, 105.23028584959931)",Rice
"(10.32327281825184, 105.28706445330431)",Rice
"(10.324181275911162, 105.27752564788187)",Rice
"(10.323727047081501, 105.26480724065195)",Rice
"(10.321910131762861, 105.2266520189622)",Rice
"(10.324181275911162, 105.25072614693312)",Rice
"(10.32327281825184, 105.27071221543727)",Rice
"(10.325089733570481, 105.25890226586662)",Rice
"(10.321455902933202, 105.25208883342202)",Rice
"(10.324635504740822, 105.26162763884446)",Rice
"(10.325089733570481, 105.28751868213396)",Rice
"(10.32009321644422, 105.24845500278491)",Rice
"(10.324181275911162, 105.23982465502175)",Rice
"(10.31963898761456, 105.23891619736247)",Rice
"(10.325089733570481, 105.26389878299267)",Rice
"(10.321455902933202, 105.26117341001483)",Rice
"(10.319184758784901, 105.22710624779182)",Rice
"(10.321001674103542, 105.25254306225168)",Rice
"(10.321455902933202, 105.23164853608824)",Rice
"(10.324181275911162, 105.24936346044419)",Rice
"(10.324181275911162, 105.27979679203008)",Rice
"(10.324181275911162, 105.2598107235259)",Rice
"(10.324181275911162, 105.28706445330431)",Rice
"(10.32281858942218, 105.27934256320043)",Rice
"(10.320547445273881, 105.22710624779182)",Rice
"(10.32327281825184, 105.26162763884446)",Rice
"(10.324635504740822, 105.25208883342202)",Rice
"(10.321001674103542, 105.25027191810346)",Rice
"(10.318730529955241, 105.22756047662148)",Rice
"(10.31963898761456, 105.23255699374752)",Rice
"(10.323727047081501, 105.23800773970319)",Rice
"(10.323727047081501, 105.27797987671151)",Rice
"(10.323727047081501, 105.26844107128906)",Rice
"(10.31963898761456, 105.2416415703403)",Rice
"(10.32327281825184, 105.25663112171844)",Rice
"(10.32327281825184, 105.27979679203008)",Rice
"(10.323727047081501, 105.28888136862287)",Rice
"(10.324635504740822, 105.26344455416304)",Rice
"(10.324181275911162, 105.26208186767411)",Rice
"(10.319184758784901, 105.23573659555498)",Rice
"(10.320547445273881, 105.25435997757023)",Rice
"(10.31963898761456, 105.24255002799958)",Rice
"(10.320547445273881, 105.23619082438464)",Rice
"(10.324181275911162, 105.23709928204391)",Rice
"(10.324635504740822, 105.26026495235556)",Rice
"(10.32009321644422, 105.23846196853285)",Rice
"(10.325089733570481, 105.25617689288879)",Rice
"(10.321455902933202, 105.23074007842897)",Rice
"(10.325089733570481, 105.26071918118518)",Rice
"(10.323727047081501, 105.24073311268103)",Rice
"(10.323727047081501, 105.24345848565886)",Rice
"(10.325089733570481, 105.27979679203008)",Rice
"(10.323727047081501, 105.27752564788187)",Rice
"(10.318276301125582, 105.22619779013255)",Rice
"(10.321455902933202, 105.22710624779182)",Rice
"(10.325089733570481, 105.2666241559705)",Rice
"(10.321001674103542, 105.26026495235556)",Rice
"(10.32009321644422, 105.24118734151068)",Rice
"(10.324635504740822, 105.2857017668154)",Rice
"(10.32009321644422, 105.24209579916996)",Rice
"(10.32281858942218, 105.25572266405916)",Rice
"(10.324635504740822, 105.25663112171844)",Rice
"(10.325089733570481, 105.25345151991095)",Rice
"(10.32327281825184, 105.27707141905222)",Rice
"(10.323727047081501, 105.22892316311038)",Rice
"(10.32327281825184, 105.2334654514068)",Rice
"(10.319184758784901, 105.23846196853285)",Rice
"(10.325089733570481, 105.26753261362978)",Rice
"(10.318730529955241, 105.2334654514068)",Rice
"(10.324635504740822, 105.28115947851899)",Rice
"(10.324181275911162, 105.27525450373366)",Rice
"(10.319184758784901, 105.22846893428076)",Rice
"(10.324181275911162, 105.24073311268103)",Rice
"(10.323727047081501, 105.2788883343708)",Rice
"(10.324181275911162, 105.26571569831123)",Rice
"(10.32009321644422, 105.24800077395528)",Rice
"(10.32327281825184, 105.23164853608824)",Rice
"(10.318730529955241, 105.22983162076967)",Rice
"(10.323727047081501, 105.24436694331814)",Rice
"(10.324181275911162, 105.28206793617827)",Rice
"(10.325089733570481, 105.28524753798575)",Rice
"(10.320547445273881, 105.22756047662148)",Rice
"(10.32009321644422, 105.24527540097742)",Rice
"(10.324635504740822, 105.26980375777799)",Rice
"(10.323727047081501, 105.24527540097742)",Rice
"(10.320547445273881, 105.23800773970319)",Rice
"(10.324635504740822, 105.26616992714088)",Rice
"(10.323727047081501, 105.27707141905222)",Rice
"(10.321001674103542, 105.23028584959931)",Rice
"(10.319184758784901, 105.23437390906608)",Rice
"(10.320547445273881, 105.25208883342202)",Rice
"(10.321910131762861, 105.24618385863673)",Rice
"(10.325089733570481, 105.26208186767411)",Rice
"(10.321455902933202, 105.2266520189622)",Rice
